Code,Omschrijving,Groep,Titel
I17353.05,NEN-EN-ISO 17353:2005 en,Norm water-chemisch,Water - Bepaling van geselecteerde organotinverbindingen - Gaschromatografische methode
I17380.06,NEN-ISO 17380:2006 en,Norm bodem-chemisch,Bodem - Bepaling van het totale gehalte aan cyanide en het gehalte aan vrije cyanide - Continue doorstroomanalyse methode
I17495.03,NEN-EN-ISO 17495:2003 en,Norm water-chemisch,Water - Bepaling van de geselecteerde nitrofenolen - Methode door vaste stofextractie en gaschromatografie met massaspectrometrische detectie
I17852.06,ISO 17852:2006 en,Norm water-chemisch,Water - Bepaling van kwik - Methode met atomaire fluorecentiespectometrie
I17852.08,NEN-EN-ISO 17852:2008 en,Norm water-chemisch,Water - Bepaling van kwik - Methode met atomaire fluorecentiespectometrie
I17858.07,ISO 17858:2007 en,Norm water-chemisch,Water - Bepaling van dioxine-achtige polychloorbifenylen - Methode met gaschromatografie en massaspectometrie
I17993.04,NEN-EN-ISO 17993:2004 en,Norm water-chemisch,Water - Bepaling van 15 polycyclische aromatische koolwaterstoffen (PAK) in water met HPLC met fluorescentiedetectie na vloeistof-vloeistof extractie
I17994.04,NEN-EN-ISO 17994:2004 en,Norm water-biologisch,Water - Criteria voor het vaststellen van gelijkwaardigheid van microbiologische methoden
I18073.04,NEN-ISO 18073:2004 en,Norm water-chemisch,Water - Bepaling van tetra- tot octa-gechloreerde dioxinen en furanen - Methode met isotoopverdunning-HRGC/HRMS
I18287.06,NEN-ISO 18287:2006 en,Norm bodem-chemisch,Bodem - Bepaling van polycyclische aromatische koolwaterstoffen (PAK) - Gaschromatografische methode met massaspectrometrische detectie (GC-MS)
I18412.06,NEN-EN-ISO 18412:2006 en,Norm water-chemisch,Water - Bepaling van chroom (VI) - Fotometrische methode voor zwak verontreinigd water
I18749.04,NEN-ISO 18749:2004 en,Norm water-biologisch,Water - Absorptie van stoffen op geactiveerd slib - Batchproef met behulp van gespecificeerde analytische methoden
I18856.05,NEN-EN-ISO 18856:2005 en,Norm water-chemisch,Water - Bepaling van geselecteerde ftalaten met gebruik van gaschromatografie/massaspectrometrie
I18857-1.06,NEN-EN-ISO 18857-1:2006 en,Norm water-chemisch,Water - Bepaling van geselecteerde alkylfenolen - Deel 1: Methode voor niet-gefiltreerde monsters met vloeistofextractie en gaschromatografie met massaselectieve detectie
I19250.03,NEN-EN-ISO 19250:2003 Ontw. en,Norm water-biologisch,Water - Bepaling van Salmonella species
I19493.07,NEN-EN-ISO 19493:2007 en,Norm water-biologisch,Water - Richtlijn voor marien biologisch onderzoek van litorale en sublitorale verharde bodem
I20079.06,NEN-EN-ISO 20079:2006 en,Norm water-biologisch,Water - Bepaling van de toxiciteit van componenten in water en afvalwater op eendenkroos (Lemna minor) - Test voor de remming van de groei van eendenkroos
